Date,GS,JPM,MSFT
2024-04-30,409.0262145996094,183.8190460205078,383.44464111328125
2024-05-01,409.2561950683594,183.93409729003906,388.9698486328125
2024-05-02,414.6433410644531,183.74237060546875,391.8260192871094
2024-05-03,420.02081298828125,182.63987731933594,400.5126953125
2024-05-06,425.2833251953125,184.06832885742188,407.2886962890625
2024-05-07,425.4079284667969,183.82862854003906,403.1521301269531
2024-05-08,428.42742919921875,187.56753540039062,404.33404541015625
2024-05-09,436.6805725097656,189.3411102294922,406.08709716796875
2024-05-10,435.8849792480469,190.5586395263672,408.4704895019531
2024-05-13,434.76348876953125,190.5203094482422,407.4659118652344
2024-05-14,439.469970703125,193.18544006347656,410.26300048828125
2024-05-15,446.7742004394531,193.76063537597656,417.4360046386719
2024-05-16,445.2692565917969,194.10580444335938,415.37384033203125
2024-05-17,448.336669921875,196.32994079589844,414.60430908203125
2024-05-20,443.7547912597656,187.5004119873047,419.6658630371094
2024-05-21,450.9151916503906,191.2776641845703,423.3164978027344
2024-05-22,443.21795654296875,190.1176300048828,424.7767639160156
2024-05-23,439.16326904296875,188.78506469726562,421.30377197265625
2024-05-24,442.06768798828125,192.4185028076172,424.42156982421875
2024-05-28,440.75445556640625,191.2584686279297,424.5794677734375
2024-05-29,438.2238464355469,189.9259033203125,423.44482421875
2024-05-30,434.1831970214844,191.0955047607422,409.13824462890625
2024-05-31,440.2489929199219,194.25917053222656,409.59210205078125
2024-06-03,438.763916015625,193.48265075683594,408.0035400390625
2024-06-04,439.07244873046875,190.9325408935547,410.5195617675781
2024-06-05,445.22509765625,189.11102294921875,418.3536376953125
2024-06-06,441.7727355957031,188.7754669189453,418.8568420410156
2024-06-07,438.6964111328125,191.68988037109375,418.19573974609375
2024-06-10,437.38482666015625,191.3639373779297,422.1621398925781
2024-06-11,428.43560791015625,186.33084106445312,426.907958984375
2024-06-12,432.707763671875,183.61773681640625,435.1761474609375
2024-06-13,430.4414978027344,185.65972900390625,435.6892395019531
2024-06-14,430.54754638671875,185.7747802734375,436.6660461425781
2024-06-17,434.13494873046875,186.9251708984375,442.38861083984375
2024-06-18,441.1265869140625,188.8617401123047,440.3857727050781
2024-06-20,441.7244873046875,190.46275329589844,439.7542724609375
2024-06-21,434.13494873046875,188.190673828125,443.7798156738281
2024-06-24,445.6205139160156,190.6641082763672,441.6979675292969
2024-06-25,441.0783386230469,189.88755798339844,444.9342346191406
2024-06-26,439.6125183105469,189.2739715576172,446.1280822753906
2024-06-27,430.06536865234375,190.9420928955078,446.8088684082031
2024-06-28,436.19866943359375,193.90444946289062,440.98760986328125
2024-07-01,447.134521484375,196.96267700195312,450.6370849609375
2024-07-02,449.0150146484375,200.2030792236328,453.153076171875
2024-07-03,451.2427062988281,200.06881713867188,454.62322998046875
2024-07-05,448.1856689453125,197.41781616210938,461.3226318359375
2024-07-08,448.253173828125,197.78416442871094,460.020263671875
2024-07-09,455.9776916503906,200.15560913085938,453.40960693359375
2024-07-10,461.82171630859375,200.31947326660156,460.03009033203125
2024-07-11,462.1495666503906,199.9820556640625,448.63421630859375
2024-07-12,462.7763977050781,197.5624237060547,447.49957275390625
2024-07-15,474.68621826171875,202.48846435546875,447.904052734375
2024-07-16,485.0916748046875,205.92996215820312,443.52325439453125
2024-07-17,484.2816162109375,209.06295776367188,437.60333251953125
2024-07-18,468.8808288574219,202.42098999023438,434.4953308105469
2024-07-19,467.6464538574219,202.2281951904297,431.2787780761719
2024-07-22,469.6812438964844,202.710205078125,437.0310974121094
2024-07-23,474.6091003417969,202.75839233398438,438.91558837890625
2024-07-24,469.3533935546875,201.08103942871094,423.17840576171875
2024-07-25,474.18475341796875,201.15814208984375,412.8184509277344
2024-07-26,481.2438659667969,204.59963989257812,419.5968322753906
2024-07-29,475.15875244140625,203.25967407226562,421.0373229980469
2024-07-30,487.6472473144531,207.4434356689453,417.27813720703125
2024-07-31,490.887451171875,205.13949584960938,412.7691650390625
2024-08-01,482.2950134277344,200.47373962402344,411.545654296875
2024-08-02,453.86578369140625,191.97122192382812,403.0406799316406
2024-08-05,442.659912109375,187.8838348388672,389.8786315917969
2024-08-06,453.460693359375,193.12802124023438,394.27911376953125
2024-08-07,456.15130615234375,193.18585205078125,393.1148681640625
2024-08-08,468.4565124511719,196.71409606933594,397.31805419921875
2024-08-09,472.7864685058594,198.39146423339844,400.6036071777344
2024-08-12,468.1961364746094,198.76744079589844,401.383056640625
2024-08-13,474.4066162109375,200.4544219970703,408.48699951171875
2024-08-14,480.9256896972656,202.67166137695312,411.2989807128906
2024-08-15,481.2342224121094,203.93447875976562,416.1621398925781
2024-08-16,486.2874755859375,206.2673797607422,413.6317138671875
2024-08-19,486.6925354003906,207.69406127929688,416.65631103515625
2024-08-20,479.6141357421875,206.7975616455078,419.88848876953125
2024-08-21,478.7655029296875,206.8746795654297,419.23614501953125
2024-08-22,480.0094909667969,208.83160400390625,410.7453918457031
2024-08-23,491.2635803222656,210.4511260986328,411.97113037109375
2024-08-26,489.768798828125,211.2801513671875,408.70928955078125
2024-08-27,489.18060302734375,212.25381469726562,409.05523681640625
2024-08-28,485.3905944824219,213.32383728027344,405.8527526855469
2024-08-29,491.9193420410156,214.21072387695312,408.34356689453125
2024-08-30,494.97503662109375,216.70748901367188,412.3171081542969
2024-09-03,472.8672790527344,212.3695068359375,404.70611572265625
2024-09-04,475.9521179199219,211.4344024658203,404.1723327636719
2024-09-05,473.27471923828125,209.79559326171875,403.6682434082031
2024-09-06,465.25225830078125,204.81173706054688,397.05560302734375
2024-09-09,473.9440612792969,209.005126953125,401.0291442871094
2024-09-10,453.14593505859375,198.16012573242188,409.4111328125
2024-09-11,457.0649719238281,199.7699737548828,418.14886474609375
2024-09-12,459.868408203125,199.1626739501953,422.0631103515625
2024-09-13,464.65081787109375,196.96475219726562,425.611572265625
2024-09-16,470.63616943359375,200.37730407714844,426.3528747558594
2024-09-17,470.8592529296875,201.71726989746094,430.1188659667969
2024-09-18,470.073486328125,200.05918884277344,425.8290100097656
2024-09-19,488.7472229003906,202.9029998779297,433.6178894042969
2024-09-20,483.5088806152344,203.4910430908203,430.2374572753906
2024-09-23,482.5194091796875,203.8284454345703,428.497802734375
